2026-03-03 03:00:00.041 [xxl-job, EmbedServer bizThreadPool-1139223721] INFO  c.x.job.core.executor.XxlJobExecutor - >>>>>>>>>>> xxl-job regist JobThread success, jobId:6, handler:com.xxl.job.core.handler.impl.MethodJobHandler@146b4c6c[class com.taoxin.communitysharing.algin.job.FansCountShardingXxlJob#fansCountShardingJobHandler]
2026-03-03 03:01:33.318 [xxl-job, JobThread-5-1772478000048] INFO  com.xxl.job.core.thread.JobThread - >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[xxl-job, JobThread-5-1772478000048,10,main]
2026-03-03 03:01:33.318 [xxl-job, JobThread-11-1772478000049] INFO  com.xxl.job.core.thread.JobThread - >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[xxl-job, JobThread-11-1772478000049,10,main]
2026-03-03 03:01:33.318 [xxl-job, JobThread-8-1772478000048] INFO  com.xxl.job.core.thread.JobThread - >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[xxl-job, JobThread-8-1772478000048,10,main]
2026-03-03 03:01:33.318 [xxl-job, JobThread-7-1772478000046] INFO  com.xxl.job.core.thread.JobThread - >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[xxl-job, JobThread-7-1772478000046,10,main]
2026-03-03 03:01:33.318 [xxl-job, JobThread-9-1772478000048] INFO  com.xxl.job.core.thread.JobThread - >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[xxl-job, JobThread-9-1772478000048,10,main]
2026-03-03 03:01:33.333 [xxl-job, JobThread-6-1772478000040] INFO  com.xxl.job.core.thread.JobThread - >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[xxl-job, JobThread-6-1772478000040,10,main]
2026-03-03 03:01:33.333 [xxl-job, JobThread-9-1772478000098] INFO  com.xxl.job.core.thread.JobThread - >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[xxl-job, JobThread-9-1772478000098,10,main]
2026-03-03 03:01:33.333 [xxl-job, JobThread-10-1772478000099] INFO  com.xxl.job.core.thread.JobThread - >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[xxl-job, JobThread-10-1772478000099,10,main]
2026-03-03 03:01:33.348 [xxl-job, JobThread-5-1772478000091] INFO  com.xxl.job.core.thread.JobThread - >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[xxl-job, JobThread-5-1772478000091,10,main]
2026-03-03 03:01:33.348 [xxl-job, JobThread-8-1772478000097] INFO  com.xxl.job.core.thread.JobThread - >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[xxl-job, JobThread-8-1772478000097,10,main]
2026-03-03 03:01:33.348 [xxl-job, JobThread-6-1772478000100] INFO  com.xxl.job.core.thread.JobThread - >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[xxl-job, JobThread-6-1772478000100,10,main]
2026-03-03 03:01:33.684 [xxl-job, JobThread-6-1772478000295] INFO  com.xxl.job.core.thread.JobThread - >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[xxl-job, JobThread-6-1772478000295,10,main]
2026-03-03 03:01:33.684 [xxl-job, JobThread-10-1772478000295] INFO  com.xxl.job.core.thread.JobThread - >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[xxl-job, JobThread-10-1772478000295,10,main]
2026-03-03 03:01:33.684 [xxl-job, JobThread-8-1772478000304] INFO  com.xxl.job.core.thread.JobThread - >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[xxl-job, JobThread-8-1772478000304,10,main]
2026-03-03 03:01:33.684 [xxl-job, JobThread-9-1772478000295] INFO  com.xxl.job.core.thread.JobThread - >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[xxl-job, JobThread-9-1772478000295,10,main]
2026-03-03 03:01:33.684 [xxl-job, JobThread-11-1772478000304] INFO  com.xxl.job.core.thread.JobThread - >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[xxl-job, JobThread-11-1772478000304,10,main]
2026-03-03 03:01:33.699 [xxl-job, JobThread-11-1772478000099] INFO  com.xxl.job.core.thread.JobThread - >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[xxl-job, JobThread-11-1772478000099,10,main]
2026-03-03 03:01:33.699 [xxl-job, JobThread-7-1772478000304] INFO  com.xxl.job.core.thread.JobThread - >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[xxl-job, JobThread-7-1772478000304,10,main]
2026-03-03 03:01:33.699 [xxl-job, JobThread-5-1772478000295] INFO  com.xxl.job.core.thread.JobThread - >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[xxl-job, JobThread-5-1772478000295,10,main]
2026-03-03 03:01:34.477 [xxl-job, JobThread-7-1772478000100] INFO  com.xxl.job.core.thread.JobThread - >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[xxl-job, JobThread-7-1772478000100,10,main]
2026-03-03 10:41:41.868 [Thread-7] WARN  c.a.nacos.common.notify.NotifyCenter - [NotifyCenter] Start destroying Publisher
2026-03-03 10:41:41.868 [Thread-1] WARN  c.a.n.c.http.HttpClientBeanHolder - [HttpClientBeanHolder] Start destroying common HttpClient
2026-03-03 10:41:41.875 [Thread-7] WARN  c.a.nacos.common.notify.NotifyCenter - [NotifyCenter] Destruction of the end
2026-03-03 10:41:41.875 [Thread-1] WARN  c.a.n.c.http.HttpClientBeanHolder - [HttpClientBeanHolder] Start destroying common HttpClient
2026-03-03 10:41:41.875 [Thread-7] WARN  c.a.nacos.common.notify.NotifyCenter - [NotifyCenter] Start destroying Publisher
2026-03-03 10:41:41.883 [Thread-7] WARN  c.a.nacos.common.notify.NotifyCenter - [NotifyCenter] Destruction of the end
2026-03-03 10:41:41.884 [Thread-1] WARN  c.a.n.c.http.HttpClientBeanHolder - [HttpClientBeanHolder] Destruction of the end
2026-03-03 10:41:41.893 [Thread-1] WARN  c.a.n.c.http.HttpClientBeanHolder - [HttpClientBeanHolder] Destruction of the end
